id,name,brewery_id,state,country,style,availability,abv
324743,Terroir Series - Napa Ale,36684,CA,US,Belgian Pale Ale, Rotating,6.5
203057,Yet Another Day In Paradise,42577,CA,US,Belgian Witbier, Rotating,5.8
300696,Peach Candy,21448,CA,US,French Bière de Garde, Limited (brewed once),
119735,Graveyard Shift,34618,CA,US,English Oatmeal Stout, Year-round,4.5
35624,Beer Bagel Pumpernickel Porter,982,CA,US,American Porter, Year-round,4.5
161902,Citra Muis,38091,CA,US,American Wild Ale, Limited (brewed once),6.5
117702,TBA Showers,22412,CA,US,American Imperial IPA, Limited (brewed once),8.8
190267,Blueberry Wheat,40892,CA,US,American Pale Wheat Ale, Year-round,5.5
306880,Shaken,48782,CA,US,American Cream Ale, Rotating,6.3
203344,Black Sap Stout,43119,CA,US,Russian Imperial Stout, Rotating,10.0
324043,Stifler's Mom,23200,CA,US,Winter Warmer, Winter,5.5
261196,Coffee Blonde,47782,CA,US,American Blonde Ale, Rotating,5.7
296516,Future Waves,34282,CA,US,American IPA, Rotating,7.2
281807,Out Of The (Lunch) Box 2.0,16866,CA,US,Fruit and Field Beer, Rotating,5.3
65241,Voo Doo,10046,CA,US,American Imperial Stout, Year-round,8.5
74376,Fresh And Wet,24026,CA,US,American IPA, Fall,7.7
212244,Francois,43348,CA,US,Belgian Pale Ale, Rotating,3.9
108646,Outcast Dead 2013 Barrel Aged Imperial Red,30228,CA,US,American Imperial Red Ale, Limited (brewed once),10.5
283370,Pillow Fight,49268,CA,US,American IPA, Year-round,7.3
218775,X Mikkeller Porter,396,CA,US,American Porter, Rotating,8.5
111106,Conrad's Kolsch,25926,CA,US,German Kölsch, Rotating,
229657,Beret - Peaches And Vanilla,40927,CA,US,Belgian Witbier, Rotating,8.9
90855,Me So Honey,30923,CA,US,American Pale Wheat Ale, Year-round,5.5
193521,Marina XPA,41330,CA,US,American Pale Ale (APA), Rotating,4.7
352178,Pebble Beach,43889,CA,US,German Kellerbier / Zwickelbier, Rotating,5.9
307233,Le Con,47553,CA,US,American Wild Ale, Summer,6.5
